id,y,x1,x2,x3
1,5.746058734,0.879186166,-1.219021503,0
2,0.840214609,0.903362618,0.34078247,1
3,-7.473447539,-1.619808372,-0.928973538,1
4,-6.129464687,-2.151126474,0.048015699,1
5,-8.926974324,-2.299110563,-0.86813436,0
6,-4.753272949,-1.085804653,-1.25574193,0
7,0.581352914,-1.602515265,-0.725799481,1
8,4.980986697,0.004917106,-1.439935152,1
9,-10.04425737,-1.454594622,-0.315279264,1
10,3.880552386,-0.947027502,-0.440012957,0
11,3.46471371,0.255058082,0.313153715,0
12,-8.36964473,-0.461851517,0.679929582,1
13,-2.220615366,-1.157886018,-1.401137125,0
14,8.056469796,1.426994052,1.413461975,1
15,3.698412933,0.412530829,-0.539859753,0
16,3.773695924,1.199776148,-1.212182822,1
17,6.707709101,-0.38020588,-0.147054417,1
18,0.383360614,-0.035046833,0.656567159,1
19,1.10556651,-0.768623134,-0.443726101,0
20,-5.779514777,0.159582483,0.625659484,1
21,6.744069398,0.516945278,-0.334252681,0
22,-2.887629858,0.451337293,-0.230948039,1
23,3.656270566,0.623960132,-1.21333063,0
24,2.606330588,0.87121366,-1.120584496,1
25,0.880444256,0.774865881,-1.58054923,1
26,10.58296092,1.269131819,0.533747214,0
27,-5.687179893,-0.320765177,-0.38646615,1
28,5.674156677,0.224642982,0.329699634,0
29,6.582524288,0.690619587,1.242389986,1
30,9.444966629,0.196272381,1.091363517,1
31,1.175126843,0.966986482,-0.736484086,0
32,14.96561733,1.366926859,1.700583925,0
33,-6.148635883,-1.092291303,-1.525401471,1
34,5.583691774,0.234928214,-1.415441283,0
35,8.632599805,0.020472872,0.956360229,0
36,13.17898929,-0.208287348,0.159675418,0
37,3.2574536,0.186221903,0.534345763,0
38,1.263176275,-0.332259417,-0.677238978,0
39,-3.294281407,-1.241838408,-1.440824598,0
40,-8.169399626,-1.685822498,-0.252293773,0
41,-13.78354316,-0.759428995,-0.09477454,0
42,10.59400993,1.386799799,-0.207469066,1
43,-3.687963207,-1.224946462,-0.283678423,0
44,-3.812650812,0.29444896,0.186774559,0
45,12.07246599,0.585648447,1.614104905,1
46,0.988596337,0.198777168,-1.011424938,0
47,5.755769594,0.134450714,0.850829787,1
48,1.508851123,-0.678737023,1.715380015,0
49,-3.44951611,-1.133303165,-1.210186356,0
50,-18.90509494,-1.368005937,-0.081715734,0
51,9.613968452,1.671604321,0.924720215,1
52,-0.504160224,0.236262775,0.482774679,0
53,-3.241372989,0.523414028,-1.260572176,1
54,-9.126990168,-2.264928129,-0.848920558,0
55,1.362689918,0.568817517,-0.481942602,0
56,0.216788057,1.468875501,-0.983595279,1
57,11.57652151,0.448703124,-1.211134629,0
58,3.613735803,1.742714981,-0.023591153,1
59,5.158762004,0.44473017,0.609416371,0
60,-5.046730346,-0.497653004,-0.652075863,1
61,0.005818285,0.288570361,1.179007177,1
62,0.373145704,0.527602463,0.732832712,1
63,-5.151870304,0.743647547,-1.531413152,1
64,6.120388788,0.732800183,-1.365926428,1
65,5.44448185,2.028380122,0.317778684,1
66,-0.399010061,-0.34480786,-1.021047859,1
67,0.671925462,-0.171072852,-0.689765769,0
68,5.252722104,0.085936026,1.582630471,0
69,-8.584032866,-0.364653817,0.467069659,0
70,1.197504137,-0.505316753,-0.629005976,1
71,4.522227292,1.092079991,-1.300592433,0
72,2.895988856,-0.042348211,-0.971412815,1
73,0.3101235,0.237322621,0.774123117,0
74,-2.9045003,0.229421617,1.622399515,1
75,-6.635429994,-0.431834481,-0.54204747,1
76,4.769391979,0.00051727,-0.106595491,1
77,-2.147516754,-0.237648725,-0.698112543,1
78,-3.966850413,-0.272181251,0.585068826,1
79,10.98887868,1.109295924,0.980342992,0
80,-1.916388783,0.418180873,0.604069955,0
81,2.954619669,0.801502303,1.079210747,1
82,1.715321483,-0.193340835,-2.177055598,1
83,-5.147582043,-0.044928183,-0.547233437,1
84,4.415285966,0.532690516,-0.77191022,1
85,-0.160280045,1.277097047,0.693871945,1
86,-4.898338058,-0.587819522,-3.020530385,1
87,7.906024899,0.017484257,-0.948605137,0
88,-3.183599834,-0.796606712,-0.395565066,1
89,-2.360365209,-0.682130235,-0.473196266,1
90,2.656177753,0.512428184,0.979730551,0
91,-12.64240679,1.267786167,0.277893859,1
92,10.62304246,-0.303053187,-0.16554738,0
93,-0.465718972,-1.53882886,0.060631269,0
94,8.857366264,0.845586751,-0.350573601,1
95,-3.088497834,-0.091252209,-2.793364175,0
96,7.048838074,0.310723487,0.206002838,0
97,-4.997782068,0.003098853,-0.870316943,1
98,4.917238104,1.089514367,-0.531943309,1
99,-1.377423411,-0.381584017,0.765055814,0
100,-4.548787611,-1.630658736,-0.187582487,1
101,-0.968456184,-0.533418305,0.302518218,0
102,-0.734105859,-1.128870285,0.455697807,0
103,-1.636859525,-1.112546519,-0.572705854,0
104,6.915237119,0.639490849,0.529115076,0
105,0.847785579,1.147741421,-0.919111223,0
106,-5.913890348,-1.030653877,-0.515266721,0
107,-2.486365188,1.090048891,-0.202252743,1
108,-2.358017439,-1.525292019,-0.874956962,0
109,-4.224472331,0.457930781,-0.966748136,1
110,5.58227127,0.295542031,-0.325931899,1
111,-1.643327582,-0.007471763,-0.150837682,1
112,-0.357287806,-0.738428354,-2.540053075,0
113,6.13175318,-0.180469936,-0.228070857,0
114,0.651744636,1.916125053,-0.462898184,1
115,-3.074165939,-1.137115985,-0.088682815,0
116,-14.82482369,-2.000917916,-0.602555516,1
117,-9.647263823,0.020227956,-1.53645596,1
118,-3.423834706,0.349734657,0.337045682,1
119,-1.307749677,0.210155428,1.114504869,1
