id,y,x1,x2,x3,x4,x5
1,198.4453472,0,11.90993862,0,2.15417325,14.06411187
2,156.0220564,1,14.08740004,1,1.221983166,15.30938321
3,65.58800976,0,16.37654328,1,0.04005218,16.41659546
4,136.3615553,0,12.64055984,1,1.123153696,13.76371354
5,79.27707901,0,9.554401264,0,0.61197897,10.16638023
6,57.5073967,0,12.35456915,0,0.308653971,12.66322312
7,49.41479576,1,13.77654812,0,0.161736125,13.93828425
8,74.87395605,0,14.04197154,1,0.312391543,14.35436308
9,65.47477915,0,14.05162143,1,0.136226275,14.18784771
10,143.4838441,2,15.50615821,1,0.891815119,16.39797333
11,40.74239511,1,7.124896614,1,0.011981825,7.136878439
12,80.44041624,1,19.82708859,1,0.222921084,20.05000967
13,56.50708989,1,14.18374052,0,0.202407268,14.38614779
14,191.8538144,1,17.90352822,1,1.705365074,19.60889329
15,167.1286527,2,17.1868963,1,1.349238752,18.53613505
16,119.3987706,1,11.46267033,0,1.085167606,12.54783794
17,50.76145918,0,10.9145245,0,0.296936325,11.21146083
18,101.3102365,2,16.84419496,1,0.20774273,17.05193769
19,99.35452215,0,11.98036627,0,0.756838883,12.73720515
20,79.36828942,1,16.98115003,1,0.207157481,17.18830751
21,159.1721445,0,13.38759016,0,1.600198599,14.98778876
22,75.5073903,2,8.376056822,0,0.438578213,8.814635035
23,159.8234338,1,10.24384304,1,1.465788323,11.70963136
24,137.512729,0,15.66512794,0,1.172242756,16.8373707
25,84.00429239,1,11.16744949,1,0.457084273,11.62453376
26,165.0837255,1,13.35715488,1,1.320278106,14.67743299
27,87.94094392,0,12.87216889,0,0.628022777,13.50019167
28,53.54179934,2,16.50750483,0,0.029091864,16.53659669
29,83.51888369,2,14.67004031,0,0.459161374,15.12920168
30,356.9245538,1,15.37101473,1,3.925725823,19.29674055
31,110.6700508,0,12.89290791,0,0.992466046,13.88537396
32,135.2431531,2,16.24990997,1,0.817784277,17.06769425
33,82.07398923,0,12.65377135,0,0.559159787,13.21293114
34,136.131069,0,13.75105519,1,1.176219223,14.92727441
35,175.9436978,0,8.797961031,0,1.92368658,10.72164761
36,60.61370591,2,14.24682851,0,0.297665023,14.54449353
37,180.3043777,1,11.46119141,1,1.709255667,13.17044708
38,258.9791347,1,15.39477333,0,2.760796247,18.15556958
39,111.3008872,1,12.60775964,0,0.902079009,13.50983865
40,99.15633086,0,11.0602803,0,0.847767623,11.90804792
41,238.6017065,2,11.53507911,0,2.532247561,14.06732667
42,167.3198844,2,13.08953901,0,1.473765419,14.56330443
43,55.38970966,0,13.46772111,0,0.2453924,13.71311351
44,526.3751431,1,17.15212759,0,6.343860985,23.49598858
45,207.5521919,0,10.14667138,1,2.056044474,12.20271585
46,186.1129762,1,13.67014726,1,1.787644642,15.4577919
47,75.39642076,1,16.9107094,1,0.1803288,17.0910382
48,126.2536223,1,14.55264154,1,0.964466796,15.51710834
49,195.2654968,0,11.20595746,0,2.270988705,13.47694617
50,210.6199599,1,15.81426705,0,2.1252355,17.93950255
